iteration	evaluations	runtime[s]	Cuenta_de_+[MAX]	Valor_objetivo-MIN[MIN]
299	7475	0.419	2	0
300	7500	0.42	5	98
300	7500	0.42	3	18
300	7500	0.42	2	0
301	7525	0.422	5	98
301	7525	0.422	3	18
301	7525	0.422	2	0
302	7550	0.424	5	98
302	7550	0.424	3	18
302	7550	0.424	2	0
303	7575	0.425	5	98
303	7575	0.425	3	18
303	7575	0.425	2	0
304	7600	0.427	5	98
304	7600	0.427	3	18
304	7600	0.427	2	0
305	7625	0.429	5	98
305	7625	0.429	3	18
305	7625	0.429	2	0
306	7650	0.431	5	98
306	7650	0.431	3	18
306	7650	0.431	2	0
307	7675	0.432	5	98
307	7675	0.432	3	18
307	7675	0.432	2	0
308	7700	0.434	5	98
308	7700	0.434	3	18
308	7700	0.434	2	0
309	7725	0.436	5	98
309	7725	0.436	3	18
309	7725	0.436	2	0
310	7750	0.437	5	98
310	7750	0.437	3	18
310	7750	0.437	2	0
311	7775	0.438	5	98
311	7775	0.438	3	18
311	7775	0.438	2	0
312	7800	0.439	5	98
312	7800	0.439	3	18
312	7800	0.439	2	0
313	7825	0.44	5	98
313	7825	0.44	3	18
313	7825	0.44	2	0
314	7850	0.441	5	98
314	7850	0.441	3	18
314	7850	0.441	2	0
315	7875	0.442	5	98
315	7875	0.442	3	18
315	7875	0.442	2	0
316	7900	0.443	5	98
316	7900	0.443	3	18
316	7900	0.443	2	0
317	7925	0.444	5	98
317	7925	0.444	3	18
317	7925	0.444	2	0
318	7950	0.445	5	98
318	7950	0.445	3	18
318	7950	0.445	2	0
319	7975	0.448	5	98
319	7975	0.448	3	18
319	7975	0.448	2	0
320	8000	0.449	5	98
320	8000	0.449	3	18
320	8000	0.449	2	0
321	8025	0.45	5	98
321	8025	0.45	3	18
321	8025	0.45	2	0
322	8050	0.452	5	98
322	8050	0.452	3	18
322	8050	0.452	2	0
323	8075	0.453	5	98
323	8075	0.453	3	18
323	8075	0.453	2	0
324	8100	0.454	5	98
324	8100	0.454	3	18
324	8100	0.454	2	0
325	8125	0.455	5	98
325	8125	0.455	3	18
325	8125	0.455	2	0
326	8150	0.456	5	98
326	8150	0.456	3	18
326	8150	0.456	2	0
327	8175	0.456	5	98
327	8175	0.456	3	18
327	8175	0.456	2	0
328	8200	0.457	5	98
328	8200	0.457	3	18
328	8200	0.457	2	0
329	8225	0.458	5	98
329	8225	0.458	3	18
329	8225	0.458	2	0
330	8250	0.459	5	98
330	8250	0.459	3	18
330	8250	0.459	2	0
331	8275	0.46	5	98
331	8275	0.46	3	18
331	8275	0.46	2	0
332	8300	0.461	5	98
332	8300	0.461	3	18
332	8300	0.461	2	0
333	8325	0.462	5	98
333	8325	0.462	3	18
333	8325	0.462	2	0
334	8350	0.463	5	98
334	8350	0.463	3	18
334	8350	0.463	2	0
335	8375	0.464	5	98
335	8375	0.464	3	18
335	8375	0.464	2	0
336	8400	0.465	5	98
336	8400	0.465	3	18
336	8400	0.465	2	0
337	8425	0.466	5	98
337	8425	0.466	3	18
337	8425	0.466	2	0
338	8450	0.468	5	98
338	8450	0.468	3	18
338	8450	0.468	2	0
339	8475	0.469	5	98
339	8475	0.469	3	18
339	8475	0.469	2	0
340	8500	0.47	5	98
340	8500	0.47	3	18
340	8500	0.47	2	0
341	8525	0.471	5	98
341	8525	0.471	3	18
341	8525	0.471	2	0
342	8550	0.473	5	98
342	8550	0.473	3	18
342	8550	0.473	2	0
343	8575	0.474	5	98
343	8575	0.474	3	18
343	8575	0.474	2	0
344	8600	0.476	5	98
344	8600	0.476	3	18
344	8600	0.476	2	0
345	8625	0.478	5	98
345	8625	0.478	3	18
345	8625	0.478	2	0
346	8650	0.479	5	98
346	8650	0.479	3	18
346	8650	0.479	2	0
347	8675	0.48	5	98
347	8675	0.48	3	18
347	8675	0.48	2	0
348	8700	0.481	5	98
348	8700	0.481	3	18
348	8700	0.481	2	0
349	8725	0.482	5	98
349	8725	0.482	3	18
349	8725	0.482	2	0
350	8750	0.483	5	98
350	8750	0.483	3	18
350	8750	0.483	2	0
351	8775	0.484	5	98
351	8775	0.484	3	18
351	8775	0.484	2	0
352	8800	0.486	5	98
352	8800	0.486	3	18
352	8800	0.486	2	0
353	8825	0.488	5	98
353	8825	0.488	3	18
353	8825	0.488	2	0
354	8850	0.49	5	98
